Designator,Mid X,Mid Y,Layer,Rotation
C1005,109.621,-105.641,bottom,-90
C1006,109.621,-103.591,bottom,90
C1009,136.227,-134.301,bottom,180
C3002,161.151,-114.731,bottom,90
C3003,157.551,-110.001,bottom,180
C3005,156.601,-118.101,bottom,180
C3006,152.226,-114.220446,bottom,90
C3008,156.596,-120.901,bottom,180
C3009,152.226,-124.601,bottom,-90
C3010,162.201,-114.721,bottom,90
C3011,162.006,-123.471,bottom,0
C3012,159.726,-123.471,bottom,180
C3013,163.301,-114.726,bottom,90
C3014,163.576,-123.781554,bottom,-90
C3015,160.851,-124.941,bottom,-90
C3016,158.876,-124.541,bottom,0
C3017,165.656,-119.401,bottom,0
C3018,165.236,-121.051,bottom,-90
C3020,164.191625,-96.401,bottom,180
C3021,163.631625,-101.051,bottom,90
C3022,161.315625,-101.051,bottom,90
C3023,116.641,-101.382071,bottom,-55
C3024,117.577399,-99.352431,bottom,20
C3025,123.151,-99.906,bottom,0
C3026,120.670307,-98.617403,bottom,45
C3027,121.451,-105.076,bottom,90
C3028,116.481,-98.916,bottom,100
C3029,117.691,-98.456,bottom,0
C3030,116.531,-102.616,bottom,90
C3031,115.396,-103.921,bottom,180
C3032,134.121,-104.261,bottom,0
C3033,134.121,-105.261,bottom,0
C3034,134.121,-106.171,bottom,0
C3035,119.861,-99.576,bottom,0
C3036,118.951,-102.516,bottom,90
C3037,120.971,-102.631,bottom,90
C3038,120.396,-101.585999,bottom,0
C3039,122.621,-104.676,bottom,-45
C3040,118.321,-100.136,bottom,90
C3041,117.447958,-101.264714,bottom,125
C3042,118.961,-104.529,bottom,-90
C3043,121.891,-100.177404,bottom,45
C3044,116.761,-104.521001,bottom,0
C3045,117.561,-102.841,bottom,180
C3046,121.651,-99.526,bottom,45
C3047,121.981,-105.346,bottom,-90
C3049,134.121,-106.881,bottom,0
C3051,134.451,-101.131,bottom,0
C3052,134.461,-100.081,bottom,0
C3053,119.581,-102.501,bottom,90
C3054,120.351,-102.496,bottom,90
