Designator,Mid X,Mid Y,Rotation,Layer
C1005,109.621,-105.641,-90,bottom
C1006,109.621,-103.591,90,bottom
C1009,136.14,-135.45,180,bottom
C3002,161.151,-114.731,90,bottom
C3003,157.551,-110.001,180,bottom
C3005,156.601,-118.101,180,bottom
C3006,152.226,-114.220446,90,bottom
C3008,156.596,-120.901,180,bottom
C3009,152.226,-124.601,-90,bottom
C3010,162.201,-114.721,90,bottom
C3011,162.006,-123.471,0,bottom
C3012,159.726,-123.471,180,bottom
C3013,163.301,-114.726,90,bottom
C3014,163.576,-123.781554,-90,bottom
C3015,160.851,-124.941,-90,bottom
C3016,158.876,-124.541,0,bottom
C3017,165.656,-119.401,0,bottom
C3018,165.236,-121.051,-90,bottom
C3019,166.618812,-99.556,180,bottom
C3020,164.653812,-104.328,180,bottom
C3021,161.804187,-99.954,-90,bottom
C3022,164.120187,-99.954,-90,bottom
C3023,116.641,-101.382071,-55,bottom
C3024,117.577399,-99.352431,20,bottom
C3025,123.151,-99.906,0,bottom
C3026,120.670307,-98.617403,45,bottom
C3027,121.451,-105.076,90,bottom
C3028,116.481,-98.916,100,bottom
C3029,117.691,-98.456,0,bottom
C3030,116.531,-102.616,90,bottom
C3031,115.396,-103.921,180,bottom
C3032,134.121,-104.261,0,bottom
C3033,134.121,-105.261,0,bottom
C3034,134.121,-106.171,0,bottom
C3035,119.861,-99.576,0,bottom
C3036,118.951,-102.516,90,bottom
C3037,120.971,-102.631,90,bottom
C3038,120.396,-101.585999,0,bottom
C3039,122.621,-104.676,-45,bottom
C3040,118.321,-100.136,90,bottom
C3041,117.447958,-101.264714,125,bottom
C3042,118.961,-104.529,-90,bottom
C3043,121.891,-100.177404,45,bottom
C3044,116.761,-104.521001,0,bottom
C3045,117.561,-102.841,180,bottom
C3046,121.651,-99.526,45,bottom
C3047,121.981,-105.346,-90,bottom
C3049,134.121,-106.881,0,bottom
C3051,134.451,-101.131,0,bottom
C3052,134.461,-100.081,0,bottom
C3053,119.581,-102.501,90,bottom
C3054,120.351,-102.496,90,bottom
C3055,119.964,-103.416,180,bottom
C3056,120.001,-100.496,90,bottom
C3057,118.941,-100.451,90,bottom
C3058,121.896,-102.016,0,bottom
C3059,117.561,-102.226,180,bottom
C3060,117.283,-100.266,180,bottom
C3061,140.901,-92.011,90,bottom
C3062,140.021,-92.121,90,bottom
C3063,120.636801,-104.782221,60,bottom
C3064,123.146,-100.526,0,bottom
C3065,115.481,-102.316,180,bottom
C3066,116.937985,-97.688102,70,bottom
C3067,121.791,-97.636,25,bottom
C3068,121.926,-98.476,0,bottom
C3069,123.181,-98.726,45,bottom
C3070,106.26,-100.54,90,bottom
C3071,119.341,-98.556,90,bottom
C3072,119.961,-97.971,90,bottom
C3073,119.731,-85.271,90,bottom
C3074,118.851,-85.381,90,bottom
C3075,117.257358,-103.804189,175,bottom
C3076,115.546,-101.376,180,bottom
C3077,118.711,-98.611,90,bottom
C3078,123.401,-102.695513,-25,bottom
C3080,118.071,-85.391,90,bottom
C3082,110.381,-116.716,-90,bottom
