Ref,Val,Package,PosX,PosY,Rot,Side
"C1005","18p","C_0402_1005Metric",109.621000,-105.641000,-90.000000,bottom
"C1006","18p","C_0402_1005Metric",109.621000,-103.591000,90.000000,bottom
"C1009","0.1u","C_0402_1005Metric",136.227000,-134.301000,180.000000,bottom
"C3002","0.1u","C_0402_1005Metric",161.151000,-114.731000,90.000000,bottom
"C3003","47u","C_0805_2012Metric",157.551000,-110.001000,180.000000,bottom
"C3005","0.1u","C_0402_1005Metric",156.601000,-118.101000,180.000000,bottom
"C3006","47u","C_0805_2012Metric",152.226000,-114.220446,90.000000,bottom
"C3008","0.1u","C_0402_1005Metric",156.596000,-120.901000,180.000000,bottom
"C3009","47u","C_0805_2012Metric",152.226000,-124.601000,-90.000000,bottom
"C3010","2.2u","C_0402_1005Metric",162.201000,-114.721000,90.000000,bottom
"C3011","2.2u","C_0402_1005Metric",162.006000,-123.471000,0.000000,bottom
"C3012","4.7u","C_0402_1005Metric",159.726000,-123.471000,180.000000,bottom
"C3013","2.2u","C_0402_1005Metric",163.301000,-114.726000,90.000000,bottom
"C3014","2.2u","C_0402_1005Metric",163.576000,-123.781554,-90.000000,bottom
"C3015","2.2u","C_0402_1005Metric",160.851000,-124.941000,-90.000000,bottom
"C3016","2.2u","C_0402_1005Metric",158.876000,-124.541000,0.000000,bottom
"C3017","2.2u","C_0402_1005Metric",165.656000,-119.401000,0.000000,bottom
"C3018","2.2u","C_0402_1005Metric",165.236000,-121.051000,-90.000000,bottom
"C3020","120p","C_0402_1005Metric",164.191625,-96.401000,180.000000,bottom
"C3021","22u","C_0805_2012Metric",163.631625,-101.051000,90.000000,bottom
"C3022","22u","C_0805_2012Metric",161.315625,-101.051000,90.000000,bottom
"C3023","1u","0201_Cap_Leonhart",116.641000,-101.382071,-55.000000,bottom
"C3024","1u","0201_Cap_Leonhart",117.577399,-99.352431,20.000000,bottom
"C3025","1u","0201_Cap_Leonhart",123.151000,-99.906000,0.000000,bottom
"C3026","1u","0201_Cap_Leonhart",120.670307,-98.617403,45.000000,bottom
"C3027","1u","0201_Cap_Leonhart",121.451000,-105.076000,90.000000,bottom
"C3028","1u","0201_Cap_Leonhart",116.481000,-98.916000,100.000000,bottom
"C3029","1u","0201_Cap_Leonhart",117.691000,-98.456000,0.000000,bottom
"C3030","1u","0201_Cap_Leonhart",116.531000,-102.616000,90.000000,bottom
"C3031","1u","0201_Cap_Leonhart",115.396000,-103.921000,180.000000,bottom
"C3032","10u","C_0402_1005Metric",134.121000,-104.261000,0.000000,bottom
"C3033","4.7u","C_0402_1005Metric",134.121000,-105.261000,0.000000,bottom
"C3034","1u","0201_Cap_Leonhart",134.121000,-106.171000,0.000000,bottom
"C3035","0.1u","0201_Cap_Leonhart",119.861000,-99.576000,0.000000,bottom
"C3036","0.1u","0201_Cap_Leonhart",118.951000,-102.516000,90.000000,bottom
"C3037","0.1u","0201_Cap_Leonhart",120.971000,-102.631000,90.000000,bottom
"C3038","0.1u","0201_Cap_Leonhart",120.396000,-101.585999,0.000000,bottom
"C3039","0.1u","0201_Cap_Leonhart",122.621000,-104.676000,-45.000000,bottom
"C3040","0.1u","0201_Cap_Leonhart",118.321000,-100.136000,90.000000,bottom
"C3041","0.1u","0201_Cap_Leonhart",117.447958,-101.264714,125.000000,bottom
"C3042","0.1u","0201_Cap_Leonhart",118.961000,-104.529000,-90.000000,bottom
